Numero,id,Titulo,Views
1,tPJzm39kmoQ,"Embrapa mostra como realizar terraceamento, curva em nível",562043
2,fiGwu1aXNfw,Gliricídia é um ótimo alimento para os animais,165668
3,VQZkcCMVTj4,Fossa Séptica Biodigestora,77637
4,mYgcEcJO4RQ,Produção de queijo coalho com higiene e qualidade,30340
5,C_21ghi6grE,Pasteurização lenta do leite para queijos artesanais saudáveis com qualidade,16800
6,t8QAkme6m8M,Cobertura morta com palha de coqueiro economiza água e evita ervas daninhas,20988
7,O3sp5Qphl8A,Comparativo: primeiro e quarto ano de cultivo de soja em área tradicional de plantio de cana,11015
8,QwCbJSV49nk,Braquiária pode ser a salvação da lavoura de soja no Nordeste,12840
9,7CccNuwDjfY,Integrando lavoura com pecuária e floresta (ILPF) no Nordeste,1266
10,khWe-Zhx2HY,ILPF no Nordeste: Aprendizados e desafios,1425
11,U1_limKscyE,Condições climáticas e manejo da soja em Alagoas,725
12,aSPua88KoDU,"Plantio direto: manejo de solo entre braquiária, milho e soja",741
13,az4Am6P3ksY,SEO - Vídeo 1 - Introdução -   mil visualizações DIÁRIAS em 43 vídeos.,139
14,9n59NlPpWWE,SEO - video 2 - Tipo de conteúdo é o fator principal,69
15,NgkeoiRCDbo,"SEO - Vídeo 3 - Backlinks,  pageranks, conteúdo correspondem à 80% do sucesso em visualizações",60
16,CCIKouQ1ttc,SEO Vídeo 4 - Dicas de inserção de vídeos no Youtube com técnicas de SEO,78
17,ZQoIvLf-Kb8,"SEO   vídeo 5   Títulos, subtítulos e capas de vídeos",67
18,a5TjKzcdGuM,SEO   vídeo 6   Texto junto ao vídeo,55
19,eu-HbrDVn4Y,SEO   vídeo 7   Dicas para palavras chaves tags e frases long tags,54
