Numero,id,Titulo,Views
1,yHF-9etoZyA,Como adubar o coqueiro,770084
2,ymknJKeFoLY,Aquaponia passo a passo - Como montar,413160
3,cMJZtGIhCqE,Fossa séptica biodigestora. Além de tratar dejetos humanos fornece um excelente fertilizante,247904
4,aNlZfBREjSs,Palma forrageira: dicas de como alimentar seus animais no semiárido,53106
5,yPzP8AllF7A,Milheto demanda menos água durante o ciclo,77341
6,rSH-2gz_aIs,Cobertura morta do coqueiro - passo a passo,26891
7,zi_IOv7Oc_o,Como montar armadilha de captura de besouro que ataca coqueiros e dendezeiros,90556
8,VQZkcCMVTj4,Fossa Séptica Biodigestora,44144
9,RG_pMMxf6rk,Raça Sindi - Gado para o semiárido,81396
10,yv8HUagtV_w,Como produzir mudas de gliricídia,83674
11,3x3EETpfSZI,Embrapa alerta para o Amarelecimento Letal do Coqueiro,48149
12,hzZmoHU7cN0,"Sorgo tem custo mais baixo, menos investimento e produção pode ser maior",46724
13,AczvqfirMRM,"A ""milagrosa"" leucena pode ser uma praga",74945
14,8rYPoLvHW_A,Pesquisador mostra a aquaponia em sua casa,198525
15,X9kHwMw8cio,Compostagem de frutíferas com cascas de coco trituradas. Passo a passo,17834
16,08yUsTWwSP8,Embrapa mostra porta-enxertos de citros apropriados para o Nordeste,37545
17,EMm1nPzChyI,Produção Racional e Sustentavel de Ovinos nos Tabuleiros Costeiros,290913
18,NuHoGT23VlQ,Sorgo forrageiro é uma boa opção no convívio com a seca,46596
19,E1hFLpqf1AM,Da hidroponia para aquaponia,197527
20,Tpm7X17oKa4,Sorgo é uma boa opção de cultivo para o semiárido do Nordeste,54777
21,Rm6iIHfh-7o,Tecnologia permite partos múltiplos em ovelhas Santa Inês,16983
22,dCBULlO0gDQ,Como produzir peixe e hortaliças em casa,60944
23,Wp7xf1BQXBA,Atenção ao alimentar animais só com palma forrageira,18286
24,pzPNtYeRTvg,Embrapa monstra potencial de ervas daninhas na alimentação animal,11307
25,S3YrDEW-l4Q,"Embrapa integra gliricídia, coqueiro e bovinos",11585
26,tFeJyx3vCZs,Gliricídia como fonte de nitrogênio,4505
27,iN-uXRLJ-58,Economize água no plantio do coqueiro,5285
28,_3UAXQcrbGM,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)",15784
29,H0U9l3q4p68,Agricultura de precisão: Embrapa desenvolve estação meteorológica de baixo custo,8076
30,lmHKZoPY-g0,Gliricídia convive bem com a seca,37026
31,He1AiTaEyPU,Soja: solução para crise canavieira no Nordeste,7647
32,zzZmzn3ynhc,Uso do drone na Agricultura,22685
33,rkw8BuCQSbw,Comparativo de plantio: banana Princesa e banana Maçã,11351
34,29aAaRHGb7E,Pesquisa sobre agricultura de precisão,8925
35,RayhKM1NsIc,Livro sobre mangaba,8338
36,0iW6s4XGQS0,Embrapa alerta para o bicudo-vermelho que pode dizimar coqueirais e outras palmáceas,4175
37,hF58Z87b-ro,"Alerta para o ácaro vermelho em bananeiras, coqueiros e outras palmeiras",5461
38,n2gNkXm6BhY,Soja para diversificar cultura e rotacionar com milho em SE,1887
39,rNrHSaI9QL8,Melhore a rentabilidade na produção de ovinos - Ultrassom de carcaça,7948
40,oYAWgJwuEOM,Veja como a Embrapa incrementa o plantio de coqueiro,1923
41,9rhWvc_ttJI,"Pesquisador mostra viabilidade da soja em Sergipe, Alagoas e nordeste da Bahia",1396
42,A3vIAguMG6Q,Embrapa distribui sementes de grãos biofortificados em SE,1286
