Numero,id,Titulo,Views
1,yHF-9etoZyA,Como adubar o coqueiro,856188
2,ymknJKeFoLY,Aquaponia passo a passo - Como montar,430944
3,cMJZtGIhCqE,Fossa séptica biodigestora. Além de tratar dejetos humanos fornece um excelente fertilizante,262939
4,VQZkcCMVTj4,Fossa Séptica Biodigestora,55845
5,RG_pMMxf6rk,Raça Sindi - Gado para o semiárido,89734
6,rSH-2gz_aIs,Cobertura morta do coqueiro - passo a passo,42532
7,yPzP8AllF7A,Milheto demanda menos água durante o ciclo,89965
8,08yUsTWwSP8,Embrapa mostra porta-enxertos de citros apropriados para o Nordeste,39731
9,yv8HUagtV_w,Como produzir mudas de gliricídia,96071
10,3x3EETpfSZI,Embrapa alerta para o Amarelecimento Letal do Coqueiro,55261
11,hzZmoHU7cN0,"Sorgo tem custo mais baixo, menos investimento e produção pode ser maior",51136
12,zi_IOv7Oc_o,Como montar armadilha de captura de besouro que ataca coqueiros e dendezeiros,106089
13,8rYPoLvHW_A,Pesquisador mostra a aquaponia em sua casa,204519
14,AczvqfirMRM,"A ""milagrosa"" leucena pode ser uma praga",85996
15,Rm6iIHfh-7o,Tecnologia permite partos múltiplos em ovelhas Santa Inês,18693
16,OxxMMlK7Hhw,Luz com lâmpada de garrafa pet,50658
17,X9kHwMw8cio,Compostagem de frutíferas com cascas de coco trituradas. Passo a passo,20717
18,NuHoGT23VlQ,Sorgo forrageiro é uma boa opção no convívio com a seca,50222
19,dCBULlO0gDQ,Como produzir peixe e hortaliças em casa,62850
20,E1hFLpqf1AM,Da hidroponia para aquaponia,201952
21,Tpm7X17oKa4,Sorgo é uma boa opção de cultivo para o semiárido do Nordeste,59259
22,_3UAXQcrbGM,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)",16671
23,Wp7xf1BQXBA,Atenção ao alimentar animais só com palma forrageira,20050
24,pzPNtYeRTvg,Embrapa monstra potencial de ervas daninhas na alimentação animal,12402
25,S3YrDEW-l4Q,"Embrapa integra gliricídia, coqueiro e bovinos",13780
26,iN-uXRLJ-58,Economize água no plantio do coqueiro,6506
27,H0U9l3q4p68,Agricultura de precisão: Embrapa desenvolve estação meteorológica de baixo custo,9332
28,lmHKZoPY-g0,Gliricídia convive bem com a seca,38886
29,zzZmzn3ynhc,Uso do drone na Agricultura,23063
30,rkw8BuCQSbw,Comparativo de plantio: banana Princesa e banana Maçã,12359
31,29aAaRHGb7E,Pesquisa sobre agricultura de precisão,9832
32,RayhKM1NsIc,Livro sobre mangaba,8620
33,0iW6s4XGQS0,Embrapa alerta para o bicudo-vermelho que pode dizimar coqueirais e outras palmáceas,4708
34,hF58Z87b-ro,"Alerta para o ácaro vermelho em bananeiras, coqueiros e outras palmeiras",5823
35,n2gNkXm6BhY,Soja para diversificar cultura e rotacionar com milho em SE,2163
36,rNrHSaI9QL8,Melhore a rentabilidade na produção de ovinos - Ultrassom de carcaça,8235
37,oYAWgJwuEOM,Veja como a Embrapa incrementa o plantio de coqueiro,2510
38,9rhWvc_ttJI,"Pesquisador mostra viabilidade da soja em Sergipe, Alagoas e nordeste da Bahia",1502
39,A3vIAguMG6Q,Embrapa distribui sementes de grãos biofortificados em SE,1377
40,tFeJyx3vCZs,Gliricídia como fonte de nitrogênio,12441
