Numero,id,Titulo,Views
1,tPJzm39kmoQ,"Embrapa mostra como realizar um terraceamento, curva em nível",444962
2,fiGwu1aXNfw,Gliricídia é um ótimo alimento para os animais,104832
3,mYgcEcJO4RQ,Produção de queijo coalho com higiene: Embrapa recomenda,13703
4,C_21ghi6grE,Pasteurização lenta do leite para queijos artesanais saudáveis com qualidade,6111
5,t8QAkme6m8M,Cobertura morta com palha de coqueiro economiza água e evita ervas daninhas,15974
6,O3sp5Qphl8A,Comparativo: primeiro e quarto ano de cultivo de soja em área tradicional de plantio de cana,8292
7,QwCbJSV49nk,Braquiária pode ser a salvação da lavoura de soja no Nordeste,10694
8,7CccNuwDjfY,Integrando lavoura com pecuária e floresta (ILPF) no Nordeste,798
9,Rw57unxzcGs,Renovabio - a nova política para biocombustível,1595
10,khWe-Zhx2HY,ILPF no Nordeste: Aprendizados e desafios,1292
11,U1_limKscyE,Condições climáticas e manejo da soja em Alagoas,649
12,aSPua88KoDU,Sistema de plantio direto: manejo de solo e espécies na ILP – Edson Patto,537
13,az4Am6P3ksY,SEO - Vídeo 1 - Introdução -   mil visualizações DIÁRIAS em 43 vídeos.,121
14,9n59NlPpWWE,SEO - video 2 - Tipo de conteúdo é o fator principal,63
15,NgkeoiRCDbo,"SEO - Vídeo 3 - Backlinks,  pageranks, conteúdo correspondem à 80% do sucesso em visualizações",55
16,CCIKouQ1ttc,SEO Vídeo 4 - Dicas de inserção de vídeos no Youtube com técnicas de SEO,51
17,ZQoIvLf-Kb8,"SEO   vídeo 5   Títulos, subtítulos e capas de vídeos",64
18,a5TjKzcdGuM,SEO   vídeo 6   Texto junto ao vídeo,51
19,eu-HbrDVn4Y,SEO   vídeo 7   Dicas para palavras chaves tags e frases long tags,48
20,VQZkcCMVTj4,Fossa Séptica Biodigestora,33566
