Numero,id,Titulo,Views
1,yHF-9etoZyA,Como adubar o coqueiro,550166
2,ymknJKeFoLY,Aquaponia passo a passo - Como montar,389175
3,cMJZtGIhCqE,Fossa séptica biodigestora. Além de tratar dejetos humanos fornece um excelente fertilizante,221674
4,E1hFLpqf1AM,Da hidroponia para aquaponia,192280
5,8rYPoLvHW_A,Pesquisador mostra a aquaponia em sua casa,190773
6,AczvqfirMRM,"A ""milagrosa"" leucena pode ser uma praga",62826
7,RG_pMMxf6rk,Raça Sindi - Gado para o semiárido,68406
8,zi_IOv7Oc_o,Como montar armadilha de captura de besouro que ataca coqueiros e dendezeiros,76003
9,yPzP8AllF7A,Milheto demanda menos água durante o ciclo,57598
10,aNlZfBREjSs,Palma forrageira: dicas de como alimentar seus animais no semiárido,33124
11,hzZmoHU7cN0,"Sorgo tem custo mais baixo, menos investimento e produção pode ser maior",36241
12,yv8HUagtV_w,Como produzir mudas de gliricídia,66431
13,Tpm7X17oKa4,Sorgo: uma boa opção de forragem para o semiárido do Nordeste,50591
14,NuHoGT23VlQ,Sorgo forrageiro é uma boa opção no convívio com a seca,41003
15,3x3EETpfSZI,Embrapa alerta para o Amarelecimento Letal do Coqueiro,35147
16,Wp7xf1BQXBA,"Palma forrageira,  gliricídia, ureia e farelo de algodão na nutrição animal",14857
17,dCBULlO0gDQ,Aquaponia Sistema Familiar,58123
18,OxxMMlK7Hhw,Luz com lâmpada de garrafa pet,39020
19,08yUsTWwSP8,Embrapa mostra porta-enxertos de citros apropriados para o Nordeste,30652
20,Rm6iIHfh-7o,Tecnologia permite partos múltiplos em ovelhas Santa Inês,14213
21,lmHKZoPY-g0,Gliricídia convive bem com a seca,34634
22,rkw8BuCQSbw,Comparativo de plantio: banana Princesa e banana Maçã,10561
23,zzZmzn3ynhc,Uso do drone na Agricultura,21131
24,_3UAXQcrbGM,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)",13939
25,pzPNtYeRTvg,Pesquisa demonstra potencial de ervas daninhas na alimentação animal,9234
26,S3YrDEW-l4Q,"Embrapa integra coqueiro, gado de corte e gliricídia em Alagoas",8839
27,X9kHwMw8cio,Compostagem de frutíferas com cascas de coco trituradas. Passo a passo,13053
28,29aAaRHGb7E,Pesquisa sobre agricultura de precisão,7818
29,H0U9l3q4p68,Agricultura de precisão: Embrapa desenvolve estação meteorológica de baixo custo,6230
30,He1AiTaEyPU,Soja vira solução para crise canavieira no Nordeste,6492
31,RayhKM1NsIc,Livro sobre mangaba,7685
32,hF58Z87b-ro,"Alerta para o ácaro vermelho em bananeiras, coqueiros e outras palmeiras",4815
33,0iW6s4XGQS0,Embrapa alerta para o bicudo-vermelho que pode dizimar coqueirais e outras palmáceas,3329
34,rNrHSaI9QL8,Melhore a rentabilidade na produção de ovinos - Ultrassom de carcaça,7765
35,oYAWgJwuEOM,Banco com espécimes de coqueiros de todo o mundo em Sergipe,1695
36,9rhWvc_ttJI,"Pesquisador mostra viabilidade da soja em Sergipe, Alagoas e nordeste da Bahia",1325
37,A3vIAguMG6Q,Embrapa distribui sementes de grãos biofortificados em SE,1218
38,n2gNkXm6BhY,Soja para diversificar cultura e rotacionar com milho em SE,1718
39,rSH-2gz_aIs,Cobertura morta do coqueiro - passo a passo,11369
40,iN-uXRLJ-58,Cobertura morta no coqueiro economiza água no plantio,3435
